ProjectName,Category,Subtitle,AwesomeNearLink,Series,ABBV,Icon,Website Link,Buy Link,Stake Link,DApp Link,Facebook,Twitter,Github,Telegram,Discord,Linkedin,Medium,Other Links,Near Token,Aurora Token,Ethereum Token,Other Tokens,Description,Grants,News Articles
Spin,"DApps,DeFi,DEX,Exchanges",DeFi derivatives infrastructure built on NEAR Protocol.,https://awesomenear.com/spin,"TRENDING,NEAR",(SPIN),https://awesome-near.s3.amazonaws.com/spin.jpg,https://spin.fi/,,,https://perp.spin.fi/,,https://twitter.com/spin_fi,https://github.com/spin-fi/,https://t.me/spin_fi,https://discord.com/invite/e3jUf3dDZu,,https://spin-fi.medium.com/,https://docs.spin.fi/,,,,," Spin is a DeFi derivatives infrastructure built on NEAR Protocol, a reliable and scalable L1 solution. The on-chain order book solution offered by Spin provides a CEX-competitive experience to DeFi users. Founded in June 2021, Spin was the first product to offer on-chain order book solution on NEAR Protocol.  The advantages of the order book model include better user experience compared to AMM, flexible liquidity, easy access for institutional traders, secure and transparent on-chain verification, opportunity to price different types of instruments, and trading robots interoperability. The order book based infrastructure unlocks the opportunity to build various types of derivatives with different levels of complexity in the DeFi space including but not limited to perpetual & quarterly futures, power perpetuals, floor perpetuals, options, exotic options, everlasting options, options vaults, basis trading, fixed yield, structured products, and RFQ. SPIN token is a Spin native utility token that ensures the sustainable development of the platform and also provides additional incentivization opportunities for the community.",,https://awesomenear.com/articles/spin-perpetual-contracts-a-degens-guide;https://awesomenear.com/articles/spin-guild-wars-airdrop-hunt-starts-today;https://awesomenear.com/articles/spin-is-to-become-the-first-near-dex-to-integrate-the-private-sharding-solution-by-calimero
Aurigami,"Aurora,DApps,DeFi,Lending","Lend, borrow, and earn with ease on Aurora. ",https://awesomenear.com/aurigami,"TRENDING,AURORA",(PLY),https://awesome-near.s3.amazonaws.com/aurigami.jpg,https://www.aurigami.finance/,https://app.ref.finance/#wrap.near|1ab43204a195a0fd37edec621482afd3792ef90b.factory.bridge.near,,https://app.aurigami.finance/,,https://twitter.com/aurigami_PLY,,,https://discord.com/invite/MpgHRtm8EK,,https://medium.com/aurigami,,https://explorer.near.org/accounts/1ab43204a195a0fd37edec621482afd3792ef90b.factory.bridge.near,https://aurorascan.dev/address/0x09c9d464b58d96837f8d8b6f4d9fe4ad408d3a4f,https://etherscan.io/address/0x1ab43204a195a0fd37edec621482afd3792ef90b,," Aurigami is a decentralized, non-custodial money market protocol on Aurora.  As the primitive money market on Aurora, Aurigami serves to complement both existing and emerging DeFi protocols to bootstrap the ecosystem’s growth. Money markets serve as the core foundation of all financial economies and with Aurigami, assets on Aurora can be utilized more strategically and efficiently. Idle assets can be turned into interest-bearing auTokens, leverage can be achieved through collateralized borrowing, borrowed funds can be deployed elsewhere for additional yield. The beauty of DeFi lies in its composability, and Aurigami unlocks further liquidity and flexibility of funds. Just like the art of paper folding, we bring together various points within the Aurora ecosystem and together, the end product becomes way more than the sum of its parts. Investors: Dragonfly Capital, Polychain Capital, Mechanism Capital, Amber Group, Jump Crypto, Coinbase Ventures, Alameda Research, Lemniscap, QCP Capital, DeFi Capital, Folius Ventures, D1 Ventures, Genblock Capital","Aurora Grant,Proximity Grant",https://awesomenear.com/articles/aurigami-is-live-on-aurora-mainnet;https://awesomenear.com/articles/the-impossible-finance-ido-12-aurigami-token-sale;https://awesomenear.com/articles/boosted-near-rewards-for-usdc;https://awesomenear.com/articles/announcing-the-aurigamists;https://awesomenear.com/articles/aurigami-ply-token-launch
Allbridge,"Aurora,Bridges,Infrastructure","A fast, affordable and secure way of moving liquidity between EVM, non-EVM, and L2 blockchains.",https://awesomenear.com/allbridge,"NEAR,AURORA",(ABR),https://awesome-near.s3.amazonaws.com/allbridge.jpg,https://allbridge.io/,https://app.ref.finance/#wrap.near|abr.a11bd.near,,,,https://twitter.com/Allbridge_io,https://github.com/allbridge-io,https://t.me/allbridge_official,https://discord.com/invite/ASuPY8d3E6,,https://allbridge.medium.com/,,https://explorer.near.org/accounts/abr.a11bd.near,https://aurorascan.dev/address/0x2BAe00C8BC1868a5F7a216E881Bae9e662630111,,," Allbridge is a simple, modern, and reliable way to transfer assets between different networks. It is a bridge between both EVM and non-EVM compatible blockchains, that aims to cover L2 solutions and NFT transfers in the future. Allbridge’s mission is to make the blockchain world borderless by providing a tool to freely move assets between various blockchains.",,https://awesomenear.com/articles/allbridge-aurora-terra-bridge;https://awesomenear.com/articles/allbridge-enables-near-transfers-between-near-protocol-and-polygon;https://awesomenear.com/articles/allbridge-is-adding-near-protocol
1Inch Network,"Aurora,DApps,DeFi,OWC",Token Swap Aggregator.,https://awesomenear.com/1inch-network,AURORA,(1INCH),https://awesome-near.s3.amazonaws.com/1inch-network.jpg,https://app.1inch.io/,https://app.ref.finance/#wrap.near|111111111117dc0aa78b770fa6a738034120c302.factory.bridge.near,,,,https://twitter.com/1inch,https://github.com/1inch-exchange,https://t.me/OneInchExchange,https://discord.com/invite/FZADkCZ,,https://1inch.medium.com/,,https://explorer.near.org/accounts/111111111117dc0aa78b770fa6a738034120c302.factory.bridge.near,,,, 1inch Network is a DEX aggregator with the best prices on the market and single point of entry for DeFi. Best prices are achieved by splitting orders among multiple DEXes in one single transaction with burning gas token to reduce gas costs by the half.,,https://awesomenear.com/articles/mooniswap-brings-its-next-generation-amm-protocol-by-1inch-to-near;https://awesomenear.com/articles/1inch-integrates-with-aurora
AstroDAO,"DApps,DAO",Launch your DAO in less than 10 minutes without a line of code.,https://awesomenear.com/astrodao,"TRENDING,NEAR",,https://awesome-near.s3.amazonaws.com/astrodao.jpg,https://astrodao.com/,,,https://app.astrodao.com/,,https://twitter.com/AstroDao,,https://t.me/astro_near,,,,,,,,," Astro is a platform for launching Decentralized Autonomous Organizations. DAOs are self-organized groups that form around common purposes. Membership, decision making, and funding are coordinated in public on a tamper-proof blockchain.",,https://awesomenear.com/articles/astro-launches-on-near-to-supercharge-dao-communities
Mintbase,"DApps,Marketplaces,NFT",Digital assets minted and backed by you.,https://awesomenear.com/mintbase,"TRENDING,NEAR",,https://awesome-near.s3.amazonaws.com/mintbase.jpg,https://mintbase.io/,,,,,https://twitter.com/mintbase,https://github.com/Mintbase,https://t.me/mintbase,https://discord.com/invite/89cSHH7,,https://medium.com/mintbase/,https://app.astrodao.com/dao/mintbase.sputnik-dao.near,,,,," Mintbase is a toolkit that allows anyone to create Non-fungible tokens (NFTs) without worrying about technical complexities.  The first and most hyped use-case for NFT’s has been Art. Although we love to see artists using this technology (and thriving!), we know the full potential of purposeful NFTs is not being fully explored yet. What does that mean? We believe in NFTs with practical applications and use cases: membership access, ticketing, communal projects, redeemable NFTs and so much more. For us, NFTs represent the grounds for a new financial system. By providing verifiable digital ownership, the possibilities created are endless: they’re scarce, interoperable and cryptographically secure. With our split royalties and revenue features, collaborative projects have a whole other way to deal with their finances.  At Mintbase, everyone gets their own smart contract and can add several minters to their store. Think “Shopify for NFTs”: People can create their stores to sell music, art, tickets, memberships and much more. In a nutshell, anything can be tokenized. The Mintbase interface can easily be used, but via our SDK anyone can spin off their own NFT marketplaces. Investors: Figment Capital, Woodstock Fund, TRGC, Animoca Brands, Sino Global Capital, D1 Ventures, NiMA Asghari, Sustany Capital, Fundamental Labs, Libertus Capital, Arweave, Yin Cao, Coinbase Ventures",,https://awesomenear.com/articles/mintbase-raises-7-5m-series-a-5m-grants-pool-to-pioneer-utility-nft-infrastructure;https://awesomenear.com/articles/custom-function-calls-mintbase-astrodao;https://awesomenear.com/articles/mintbase-closes-1m-seed-round
MintGate,"DApps,Social",Turn any online content into exclusive rewards.,https://awesomenear.com/mintgate,NEAR,,https://awesome-near.s3.amazonaws.com/mintgate.jpg,https://mintgate.app,,,,,https://twitter.com/mintgate_io,,,https://discord.com/invite/9BGwzQwJdt,,https://medium.com/mintgate,,,,,," Make any content & community valuable with: Token Protected Pages. TPP allows you to generate links only token holders can visit. Create a private link on any platform. Protect the li nk with your Token. Select the amount of Tokens needed. Get a token protected link to share anywhere. Investors: Dapper Labs, IOSG Ventures, CMT Digital, SterlingVC, SevenX Ventures, YBB Foundation, Kernel Ventures, Cypher Capital, PARSIQ, Tachyon Accelerator, Open Web Collective, Protocol Labs, Consensys Mesh...",,
Math Wallet,"Infrastructure,Wallets,Aurora",World's First Insured Crypto Wallet.,https://awesomenear.com/math-wallet,AURORA,(MATH),https://awesome-near.s3.amazonaws.com/math-wallet.jpg,https://www.mathwallet.org,,,,,https://twitter.com/Mathwallet,https://github.com/mathwallet,https://t.me/mathwallet,,,,https://www.notion.so/MathChain-WhitePaper-831cf29153484407ab7305aa13a38bb3,,,,," World's First Insured Crypto Wallet. Your Entry to the Crypto DApps. Your gate to the blockchain DApps. Enables storage of all BTC, ETH/ERC20, NEO/NEP5, EOS, TRON, ONT/ONG, ENU/Telos/EOSC/BOS, Binance Chain, Cosmos/IRIS tokens.",,
Few and Far,"DApps,Launchpads,Marketplaces,NFT",One-Stop Destination for NFTs on NEAR.,https://awesomenear.com/few-and-far,NEAR,(FAR),https://awesome-near.s3.amazonaws.com/few-and-far.jpg,https://fewfar.com/,https://app.ref.finance/#wrap.near|far.tokens.fewandfar.near,,,,https://twitter.com/FewandFarNFT,,,https://discord.com/invite/8RvXKtEQg8,https://www.linkedin.com/company/few-and-far-nft/,https://medium.com/few-and-far,https://fewandfar.gitbook.io/fewandfar-near-startup-grant-proposal/,,,,," Few and Far is the next-generation NFT Marketplace built on NEAR Protocol. Its technology supports advanced functionality that superpowers NFT applications across the blockchain, including critical applications for Gaming and DeFi.",NEAR Grant,https://awesomenear.com/articles/near-foundation-announces-partnership-with-few-and-far-to-grow-the-near-nft-ecosystem;https://awesomenear.com/articles/few-and-far-gives-control-to-creators-with-new-nft-standard;https://awesomenear.com/articles/few-and-far-product-update-and-roadmap
AwesomeNEAR,"Ecosystem,Education",Curated list of all projects building on NEAR and Aurora.,https://awesomenear.com/awesomenear,NEAR,,https://awesome-near.s3.amazonaws.com/awesome-logo.jpg,https://awesomenear.com,,,,,https://twitter.com/awesome_near,,,,,,,,,,," We built AwesomeNEAR — ,Offering an overview of the NEAR Protocol landscape,Serving as a dashboard of trending projects in the NEAR ecosystem,Tracking key data & stats of NEAR, the DApps and launched tokens.",,https://awesomenear.com/articles/awesomenear-february-launch-giveaway
Aurorascan,"Aurora,Explorers,Infrastructure",Aurora Explorer powered by Etherscan.,https://awesomenear.com/aurorascan,AURORA,,https://awesome-near.s3.amazonaws.com/aurorascan.jpg,https://aurorascan.dev/,,,,,https://twitter.com/AuroraScanHQ,,,,,,,,,,," Etherscan is now integrated into the Aurora chain, bringing the most popular explorer to its users and developers. This instance of Etherscan on the Aurora network is called Aurorascan, and leverages Etherscan’s comprehensive feature set and proven reliability. Through Aurorascan, users and developers can get access to developer tools and network statistics that provide extended insights into Aurora's EVM. This is a beta release, as more features will be added soon.",,https://awesomenear.com/articles/etherscan-will-launch-on-aurora;https://awesomenear.com/articles/aurora-integrates-etherscan-aurorascan
imToken,"Infrastructure,Wallets,Aurora",Easy and secure digital wallet trusted by millions.,https://awesomenear.com/imtoken,AURORA,,https://awesome-near.s3.amazonaws.com/imtoken.jpg,https://token.im/,,,,,https://twitter.com/imTokenOfficial,https://github.com/consenlabs,,https://discord.com/invite/fjX85Ww4Nw,,https://imtoken.medium.com/,,,,,," A Safe, Simple, Powerful light-wallet, which supports multi-tokens, DApps, HDWallet, address book, transaction push notification. World-renowned mobile light wallet for digital asset management. imToken is a feature-rich digital asset wallet enabling multi-chain asset management, DApp browsing and secure, private exchange of value. imToken was established on May 2016, striving to bridge the gap between blockchain technology and general masses with a simple, secure yet powerful digital asset management tool. In the span of 2 years, imToken has expanded our outreach to millions of users from more than 200 countries, becoming the world’s largest Ethereum wallet.",,
